id;cantidad;precio;menu_id;pedido_id;SQL
1;50;945.63;28;810;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (1, 50, 945.63, 28, 810);"
2;10;407.25;61;895;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (2, 10, 407.25, 61, 895);"
3;60;701.91;55;526;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (3, 60, 701.91, 55, 526);"
4;32;903.94;10;834;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (4, 32, 903.94, 10, 834);"
5;79;678.37;86;898;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (5, 79, 678.37, 86, 898);"
6;47;689.33;23;995;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (6, 47, 689.33, 23, 995);"
7;69;264.41;16;467;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (7, 69, 264.41, 16, 467);"
8;30;435.98;86;712;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (8, 30, 435.98, 86, 712);"
9;100;75.05;91;995;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (9, 100, 75.05, 91, 995);"
10;76;156.11;55;377;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (10, 76, 156.11, 55, 377);"
11;1;451.12;100;923;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (11, 1, 451.12, 100, 923);"
12;45;506.19;9;309;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (12, 45, 506.19, 9, 309);"
13;54;188.24;91;100;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (13, 54, 188.24, 91, 100);"
14;80;951.58;80;512;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (14, 80, 951.58, 80, 512);"
15;43;174.87;17;426;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (15, 43, 174.87, 17, 426);"
16;76;719.98;20;225;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (16, 76, 719.98, 20, 225);"
17;44;848.6;93;920;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (17, 44, 848.6, 93, 920);"
18;35;111.16;46;920;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (18, 35, 111.16, 46, 920);"
19;14;44.68;44;953;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (19, 14, 44.68, 44, 953);"
20;65;378.81;61;356;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (20, 65, 378.81, 61, 356);"
21;62;289.31;28;587;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (21, 62, 289.31, 28, 587);"
22;45;849.15;17;32;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (22, 45, 849.15, 17, 32);"
23;6;354.24;44;161;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (23, 6, 354.24, 44, 161);"
24;67;305.07;72;37;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (24, 67, 305.07, 72, 37);"
25;99;538.67;55;997;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (25, 99, 538.67, 55, 997);"
26;49;34.78;44;383;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (26, 49, 34.78, 44, 383);"
27;15;810.46;84;504;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (27, 15, 810.46, 84, 504);"
28;86;983.59;92;357;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (28, 86, 983.59, 92, 357);"
29;90;813.73;73;875;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (29, 90, 813.73, 73, 875);"
30;71;522.91;3;990;"INSERT INTO compras_detallepedido (id, cantidad, precio, menu_id, pedido_id) VALUES (30, 71, 522.91, 3, 990);"
