id;foto;nombre;descripcion;precio;restaurante_id;SQL
1;default_menu.png;Oil - Coconut;sunt in culpa qui officia deserunt mollit anim id est laborum.;79.59;643;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (1, 'default_menu.png', 'Oil - Coconut', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 79.59, 643);"
2;default_menu.png;Tarragon - Primerba, Paste;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;53.52;674;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (2, 'default_menu.png', 'Tarragon - Primerba, Paste', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 53.52, 674);"
3;default_menu.png;Muffin Batt - Ban Dream Zero;consectetur adipiscing elit;42.91;264;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (3, 'default_menu.png', 'Muffin Batt - Ban Dream Zero', 'consectetur adipiscing elit', 42.91, 264);"
4;default_menu.png;Pork - Chop, Frenched;quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident;13.43;155;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (4, 'default_menu.png', 'Pork - Chop, Frenched', 'quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident', 13.43, 155);"
5;default_menu.png;Flour - Semolina;Lorem ipsum dolor sit amet;19.19;701;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (5, 'default_menu.png', 'Flour - Semolina', 'Lorem ipsum dolor sit amet', 19.19, 701);"
6;default_menu.png;French Pastries;sunt in culpa qui officia deserunt mollit anim id est laborum.;78.88;678;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (6, 'default_menu.png', 'French Pastries', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 78.88, 678);"
7;default_menu.png;Extract - Rum;sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam;81.28;789;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (7, 'default_menu.png', 'Extract - Rum', 'sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam', 81.28, 789);"
8;default_menu.png;Muffin Hinge - 211n;Lorem ipsum dolor sit amet;40.2;293;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (8, 'default_menu.png', 'Muffin Hinge - 211n', 'Lorem ipsum dolor sit amet', 40.2, 293);"
9;default_menu.png;Juice - Cranberry 284ml;sunt in culpa qui officia deserunt mollit anim id est laborum.;82.02;421;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (9, 'default_menu.png', 'Juice - Cranberry 284ml', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 82.02, 421);"
10;default_menu.png;Wine - White, Lindemans Bin 95;sunt in culpa qui officia deserunt mollit anim id est laborum.;46.03;554;"INSERT INTO compras_menu (id, foto, nombre, descripcion, precio, restaurante_id) VALUES (10, 'default_menu.png', 'Wine - White, Lindemans Bin 95', 'sunt in culpa qui officia deserunt mollit anim id est laborum.', 46.03, 554);"
